Losses_10,Losses_20,Losses_30,Losses_40,Losses_50,Losses_60,Losses_70,Losses_80,Losses_90,Losses_100,Subj,Study
-1700,-2950,-3000,-3250,-3550,-5150,-6850,-7350,-7700,-9400,153,Horstmann
-200,-1750,-3400,-3400,-4950,-6550,-6700,-6950,-8250,-8500,154,Horstmann
-500,-500,-1750,-3250,-3500,-3750,-3750,-5250,-5250,-6750,155,Horstmann
-950,-1100,-1500,-3500,-3750,-5600,-5900,-6200,-6450,-7150,156,Horstmann
-1550,-2100,-2500,-3750,-4650,-5150,-5600,-6000,-6400,-6450,157,Horstmann
-1300,-1950,-3200,-4450,-4500,-5750,-8250,-8800,-10300,-11550,158,Horstmann
-150,-1700,-2250,-2250,-3750,-4250,-6200,-6450,-6750,-7050,159,Horstmann
-1850,-1850,-2100,-3950,-5200,-5200,-7700,-7700,-7950,-9700,160,Horstmann
-1300,-1550,-1800,-1800,-3600,-3650,-5450,-5450,-5450,-6950,161,Horstmann
-300,-1850,-2550,-4000,-4250,-4500,-4750,-5250,-5250,-5500,162,Horstmann
